node_id,temperature,humidity,signal_strength,battery_level,packet_loss_rate,response_time,fault_type
15,29.25,67.01,-56.88,57.8,0.29,27.23,Normal
12,25.35,55.13,-52.0,52.33,4.87,21.58,Normal
12,83.28,98.69,-58.7,96.93,9.66,24.0,Data_Anomaly
7,48.61,82.91,-86.53,34.33,83.64,877.68,Node_Failure
18,-1.51,98.79,-58.23,51.76,0.45,26.47,Data_Anomaly
13,28.24,52.19,-58.51,99.34,3.86,29.66,Normal
7,29.71,59.96,-43.0,72.47,0.48,26.93,Normal
12,87.04,93.71,-44.78,73.68,7.71,63.72,Data_Anomaly
7,26.39,76.13,-46.09,56.97,3.02,16.8,Normal
7,24.42,51.14,-76.41,88.49,75.34,722.88,Communication_Loss
11,24.42,51.97,-87.87,94.41,60.89,588.61,Communication_Loss
5,55.2,26.9,-85.12,17.62,84.38,779.05,Node_Failure
12,27.68,41.55,-53.98,64.24,0.18,25.48,Normal
12,28.12,70.53,-48.15,54.04,1.85,9.48,Normal
2,50.71,53.43,-88.19,67.65,86.42,593.26,Node_Failure
19,-3.55,96.51,-52.05,71.07,8.38,41.69,Data_Anomaly
7,87.67,95.52,-58.14,93.83,9.0,15.57,Data_Anomaly
16,27.86,56.02,-51.91,94.39,4.25,31.83,Normal
18,26.14,56.17,-81.16,79.12,58.97,627.31,Communication_Loss
8,27.76,58.66,-58.63,1.41,17.35,153.04,Battery_Drain
2,76.72,94.85,-50.02,74.32,7.69,27.6,Data_Anomaly
9,26.33,57.55,-83.94,74.34,89.21,245.21,Communication_Loss
3,27.4,45.35,-41.28,84.8,2.85,26.85,Normal
1,31.99,58.13,-58.94,4.45,18.4,151.24,Battery_Drain
4,27.24,59.12,-45.96,89.79,4.45,34.08,Normal
19,33.84,40.53,-54.27,79.54,0.15,17.86,Normal
5,27.35,64.54,-56.11,70.57,3.5,23.79,Normal
5,14.28,7.98,-81.43,56.64,81.16,957.61,Node_Failure
8,27.62,59.52,-49.67,82.86,2.18,15.53,Normal
15,24.48,52.73,-58.04,74.58,2.37,39.98,Normal
10,27.28,61.23,-49.21,84.2,3.08,27.75,Normal
1,81.12,3.92,-41.89,51.75,0.69,40.33,Data_Anomaly
8,32.06,47.28,-53.19,63.03,2.48,16.66,Normal
5,60.03,80.85,-70.19,35.95,87.44,888.21,Node_Failure
17,26.65,63.69,-90.24,62.66,71.37,497.94,Communication_Loss
4,24.23,53.46,-41.0,97.53,2.87,20.1,Normal
20,30.47,60.71,-44.17,89.48,0.46,19.41,Normal
11,32.46,62.38,-77.66,90.31,67.04,333.55,Communication_Loss
5,26.35,58.81,-42.74,94.02,1.18,13.31,Normal
19,27.93,66.6,-51.52,95.32,0.56,22.58,Normal
9,26.87,61.47,-55.25,70.01,2.39,34.07,Normal
12,78.49,55.28,-83.55,8.26,98.49,959.56,Node_Failure
15,31.65,62.24,-50.91,81.38,2.92,24.11,Normal
8,29.45,63.82,-58.45,98.72,4.93,10.52,Normal
